\(I_N \ (\text{Corrente de Norton}) \text{ e } R_N\);\(I_N = I_{sc} \ (\text{Corrente de curto-circuito}). R_N = R_{th}\)
\(R_L \ (\text{Condição para Máxima Transferência de Potência DC})\);\(R_L = R_{th} \ (\text{Resistência da carga deve ser igual à resistência de Thévenin})\)
\(P_{max} \ (\text{Máxima Transferência de Potência DC})\);\(\frac{V_{th}^2}{4R_{th}}\)
\(\text{Regras do Amplificador Operacional (Op-Amp) IDEAL}\);\(1. \text{ Correntes de entrada nulas: } i_+ = i_- = 0\text{A}. \quad 2. \text{ Curto-circuito virtual (com realimentação negativa): } V_+ = V_-\)
\(V_o \ (\text{Amp-Op Inversor})\);\(-\left(\frac{R_f}{R_{in}}\right)V_{in}\)
\(V_o \ (\text{Amp-Op Não-Inversor})\);\(\left(1 + \frac{R_f}{R_{in}}\right)V_{in}\)
\(i \ (\text{Corrente num Capacitor})\);\(C\frac{dv}{dt} \ (\text{Variações bruscas de tensão são impossíveis})\)
\(W \ (\text{Energia armazenada num Capacitor})\);\(\frac{1}{2}CV^2\)
\(\text{Comportamento do Capacitor em DC (Estado Estacionário)}\);\(\text{Age como um CIRCUITO ABERTO } (dv/dt = 0 \implies i = 0)\)
\(C_{eq} \ (\text{Capacitores em Série e em Paralelo})\);\(\text{Série: } \frac{1}{C_{eq}} = \sum \frac{1}{C_i} \quad \text{Paralelo: } C_{eq} = \sum C_i \quad \text{(Oposto dos resistores)}\)
\(v \ (\text{Tensão num Indutor})\);\(L\frac{di}{dt} \ (\text{Variações bruscas de corrente são impossíveis})\)
\(W \ (\text{Energia armazenada num Indutor})\);\(\frac{1}{2}LI^2\)
\(\text{Comportamento do Indutor em DC (Estado Estacionário)}\);\(\text{Age como um CURTO-CIRCUITO } (di/dt = 0 \implies v = 0)\)
\(L_{eq} \ (\text{Indutores em Série e em Paralelo})\);\(\text{Calculados exatamente IGUAL aos resistores.}\)
\(\tau \ (\text{Constante de Tempo para Circuito RC e RL})\);\(\tau_{RC} = R_{eq}C \quad \tau_{RL} = \frac{L}{R_{eq}}\)
\(\text{Procedimento: Equação Geral p/ Circuitos de 1ª Ordem no Tempo}\);\(x(t) = x(\infty) + [x(0) - x(\infty)]e^{-t/\tau} \ (\text{Onde } x \text{ é } V_c(t) \text{ ou } I_L(t))\)
\(u(t) \ (\text{Função Degrau Unitário / Step})\);\(0 \text{ para } t < 0. \quad 1 \text{ para } t > 0\)
\(\delta(t) \ (\text{Função Impulso})\);\(\text{Derivada do Degrau. Zero em todo lugar, exceto em } t=0 \text{ (área = 1).}\)
\(\omega_0 \ (\text{Frequência Natural Não-Amortecida - Circuitos RLC})\);\(\frac{1}{\sqrt{LC}}\)
\(\alpha \ (\text{Fator de Amortecimento / Neper Frequency - RLC Série e Paralelo})\);\(\text{Série: } \alpha = \frac{R}{2L} \quad \text{Paralelo: } \alpha = \frac{1}{2RC}\)
\(\text{Tipo de Resposta 2ª Ordem: Superamortecido (Overdamped)}\);\(\alpha > \omega_0 \ (\text{Raízes reais e distintas})\)
\(\text{Tipo de Resposta 2ª Ordem: Criticamente Amortecido (Critically Damped)}\);\(\alpha = \omega_0 \ (\text{Raízes reais e iguais})\)
\(\text{Tipo de Resposta 2ª Ordem: Subamortecido (Underdamped)}\);\(\alpha < \omega_0 \ (\text{Raízes complexas conjugadas})\)
\(\mathbf{Z}_R, \mathbf{Z}_L, \mathbf{Z}_C \ (\text{Impedâncias em AC / Regimes Fasoriais})\);\(\mathbf{Z}_R = R, \quad \mathbf{Z}_L = j\omega L, \quad \mathbf{Z}_C = \frac{1}{j\omega C} = -j\frac{1}{\omega C}\)
\(\mathbf{Y} \ (\text{Admitância em AC})\);\(\mathbf{Y} = \frac{1}{\mathbf{Z}} \ (\text{Medida em Siemens, S})\)
\(X_{rms} \ (\text{Valor Eficaz / Root Mean Square para Ondas Senoidais})\);\(\frac{X_m}{\sqrt{2}} \ (X_m = \text{Valor de Pico / Amplitude})\)
\(P \ (\text{Potência Média / Ativa em AC})\);\(P = \frac{1}{2}V_m I_m \cos(\theta_v - \theta_i) = V_{rms} I_{rms} \cos(\theta_v - \theta_i)\)
\(P \ (\text{Potência Ativa absorvida por Indutor ou Capacitor ideais})\);\(0 \text{ W} \ (\text{Apenas armazenam e devolvem energia})\)
\(\mathbf{S} \ (\text{Potência Complexa})\);\(\mathbf{S} = \mathbf{V}_{rms}\mathbf{I}_{rms}^* = P + jQ\) (\(\mathbf{I}^*\) = conjugado da corrente)
\(S \ (\text{Potência Aparente})\);\(S = |\mathbf{S}| = V_{rms}I_{rms} \ (\text{Medida em VA - Volt-Ampère})\)
\(Q \ (\text{Potência Reativa})\);\(Q = S \sin(\theta_v - \theta_i) \ (\text{Medida em VAR})\)
\(fp \ (\text{Fator de Potência})\);\(\cos(\theta_v - \theta_i) = \frac{P}{S} \ (\text{Zero para puramente reativo, 1 para puramente resistivo})\)
\(\mathbf{Z}_L \ (\text{Condição para Máxima Transferência de Potência AC})\);\(\mathbf{Z}_L = \mathbf{Z}_{th}^* \ (\text{Carga deve ser o complexo conjugado da impedância de Thévenin})\)
\(P_{max} \ (\text{Máxima Transferência de Potência AC})\);\(\frac{|V_{th, pico}|^2}{8R_{th}} = \frac{|V_{th, rms}|^2}{4R_{th}}\)
\(\text{Código de Cores (Faixas 1 e 2)}\);\(\text{Preto(0), Marrom(1), Vermelho(2), Laranja(3), Amarelo(4), Verde(5), Azul(6), Violeta(7), Cinza(8), Branco(9)}\)
\(\text{Tolerância Padrão em Resistores (4ª Faixa)}\);\(\text{Dourado (5\%) e Prateado (10\%)}\)
\(\text{Mnemônico Código de Cores}\);\(\text{Pretinhae Maria Viajou Longe Através Verde Azul Violeta Céu Branco}\)
\(\text{Séries E12 / E24}\);\(\text{Séries comerciais logarítmicas. Ex: E12 tem 1.0, 1.2, 1.5, 1.8, 2.2, 2.7, 3.3, 3.9, 4.7, 5.6, 6.8, 8.2}\)
\(\text{Datasheet - Absolute Maximum Ratings}\);\(\text{Limites físicos críticos (Tensão, Corrente, Temperatura) que, se ultrapassados, causam dano permanente ao componente.}\)
\(\text{Diferença entre SMD e Through-Hole (THT)}\);\(\text{SMD: Montagem Superficial (menor, soldado direto na placa). THT: Pinos passam em furos (mais fácil para prototipagem).}\)
\(\text{Valores Comerciais Clássicos de Capacitores}\);\(\text{10, 22, 47, 100 (Nas grandezas pF, nF, \mu F)}\)
\(\text{Fonte Dependente: VCVS}\);\(\text{Voltage-Controlled Voltage Source (ex: Amp-Op Ideal, ganho de tensão } \mu)\)
\(\text{Fonte Dependente: VCCS}\);\(\text{Voltage-Controlled Current Source (ex: MOSFET na região ativa, transcondutância } g_m)\)
\(\text{Fonte Dependente: CCVS}\);\(\text{Current-Controlled Voltage Source (parâmetro de transresistência } r)\)
\(\text{Fonte Dependente: CCCS}\);\(\text{Current-Controlled Current Source (ex: modelagem de BJT em região linear, ganho de corrente } \beta)\)
\(\text{Transcondutância } (g_m)\);\(\text{Relação em uma fonte VCCS. Mede a conversão de Tensão de entrada em Corrente de saída } (I_{out} / V_{in})\)
\(\text{Teorema da Superposição com Fontes Dependentes}\);\(\text{NUNCA desligue ou anule fontes dependentes! Elas devem permanecer ativas durante a análise.}\)
\(\text{Timer 555 - Modo Astável}\);\(\text{Gera um trem contínuo de pulsos (onda quadrada), sem precisar de disparo externo.}\)
\(\text{Timer 555 Astável - Frequência}\);\(f = \frac{1.44}{(R_1 + 2R_2)C}\)
\(\text{Timer 555 - Modo Monoestável}\);\(\text{Gera um ÚNICO pulso de duração determinada (One-Shot) quando engatilhado.}\)
\(\text{Timer 555 Monoestável - Duração do pulso}\);\(T = 1.1 \times R \times C \ (\text{Tempo exato no estado HIGH})\)
\(\text{PWM (Modulação por Largura de Pulso)}\);\(\text{Controla a potência "média" alternando rapidamente um sinal digital, evitando ineficiências térmicas de métodos analógicos.}\)
\(\text{Duty Cycle}\);\(\text{A porcentagem de um período na qual o sinal está em um estado ativo ("Ligado" / ALTO).}\)
\(\text{Ganho em Decibel (dB) - Tensão}\);\(\text{Ganho}_{dB} = 20 \log_{10} \left( \frac{V_{out}}{V_{in}} \right)\)
\(\text{Ganho em Decibel (dB) - Potência}\);\(\text{Ganho}_{dB} = 10 \log_{10} \left( \frac{P_{out}}{P_{in}} \right)\)
\(\text{O que significa } -3\text{dB}\);\(\text{O Ponto de Meia Potência (50\% dissipada). Para amplitude (V ou I), equivale a } \approx 70.7\% \text{ do pico max.}\)
\(\text{Filtro Passa-Baixas (RC Low Pass)}\);\(\text{Deixa passar frequências menores que } f_c \text{. Acima do } f_c \text{, elas são encaminhadas ao terra (GND) via shunt.}\)
\(\text{Filtro Passa-Altas (CR High Pass)}\);\(\text{Deixa passar frequências altas e bloqueia completamente componentes contínuos (DC) do sinal em série.}\)
\(\text{Filtro Passa-Banda (RLC Band Pass)}\);\(\text{Deixa fluir livremente uma janela sintonizada de frequências em torno da Frequência Central (}f_0\text{).}\)
\(\text{Frequência de Corte } (f_c) \text{ em Filtro RC}\);\(f_c = \frac{1}{2\pi RC} \ (\text{Frequência de "meia potência" onde o sinal atinge -3dB no Bode})\)
\(\text{Diagrama de Bode - Filtros Padrão 1ª Ordem}\);\(\text{O ganho decai como uma linha reta inclinada a uma taxa rigorosa de -20 dB por Década (frequência x10).}\)
\(\text{Filtro Passa-Baixas como conversor DAC}\);\(\text{Posto após pinos PWM, seu capacitor aterra pulsos digitais de alta freq, deixando apenas o valor contínuo médio (DC).}\)
\(\text{Filtro/Circuito Debounce}\);\(\text{Uso obrigatório de rede RC para amortecer engates mecânicos (ring / quiques) ao apertar chaves, servindo um sinal limpo ao microcontrolador.}\)
\(V = 24\) V, \(R = 8\,\Omega\) → corrente?;\(I = 3\) A (\(V/R\))
\(R_1 = 6\,\Omega\), \(R_2 = 3\,\Omega\) em paralelo → \(R_{eq}\)?;\(2\,\Omega\) (\(R_1 R_2 / (R_1 + R_2) = 18/9\))
Divisor de tensão: \(V_s = 10\) V, \(R_1 = 3\) k\(\Omega\), \(R_2 = 2\) k\(\Omega\) → \(V_{R_2}\)?;\(4\) V (\(10 \times 2/5\))
Divisor de corrente: \(I_s = 6\) A, \(R_1 = 4\,\Omega\), \(R_2 = 12\,\Omega\) → \(I_1\)?;\(4.5\) A (\(6 \times 12/16\), usa R oposto)
\(\tau\) de circuito RC: \(R = 10\) k\(\Omega\), \(C = 100\,\mu\)F → \(\tau\)?;\(1\) s (\(10^4 \times 10^{-4}\))
\(\omega_0\) de RLC: \(L = 1\) mH, \(C = 10\,\mu\)F → \(\omega_0\)?;\(10^4\) rad/s (\(1/\sqrt{10^{-3} \times 10^{-5}}\))
\(P_{max}\) DC: \(V_{th} = 20\) V, \(R_{th} = 5\,\Omega\) → \(P_{max}\)?;\(20\) W (\(V_{th}^2 / 4R_{th} = 400/20\))
Senoide com \(V_m = 100\) V → \(V_{rms}\)?;\(70.7\) V (\(V_m / \sqrt{2}\))
Potência ativa: \(V_{rms} = 120\) V, \(I_{rms} = 5\) A, \(\theta = 60°\) → \(P\)?;\(300\) W (\(120 \times 5 \times \cos 60°\))
\(R = 3\,\Omega\) em série com \(X_L = 4\,\Omega\) → \(|\mathbf{Z}|\)?;\(5\,\Omega\) (\(\sqrt{9 + 16}\), triângulo 3-4-5)
Circuito com 3 nós e 5 malhas — qual análise reduz equações?;Nodal: \(N-1 = 2\) equações vs 5 de malhas
Circuito linear com resistor de carga variável — qual simplificação?;Thévenin (ou Norton) nos terminais da carga
Múltiplas fontes independentes — como achar contribuição de cada?;Superposição: uma fonte por vez, desligar as demais
Fonte de tensão entre dois nós não-referência na nodal — como tratar?;Supernó: englobar ambos os nós + equação de restrição da tensão
Fonte de corrente compartilhada entre duas malhas — como tratar?;Supermalha: contornar o ramo da fonte + restrição de corrente
RLC série: \(\alpha = 500\), \(\omega_0 = 1000\) — tipo de resposta?;Subamortecido (\(\alpha < \omega_0\)): raízes complexas, oscilação amortecida
Corrente atrasada em relação à tensão — carga indutiva ou capacitiva?;Indutiva (fp em atraso, \(Q > 0\)). Capacitiva seria corrente adiantada
fp = 0.7 indutivo, preciso de fp = 0.95 — o que conectar?;Capacitor em paralelo com a carga (compensa \(Q_L\) com \(Q_C\) negativo)
Thévenin — terminais identificados. Próximo passo?;Calcular \(V_{oc}\): abrir os terminais e achar a tensão entre eles
Thévenin — \(V_{oc}\) calculado. Próximo passo?;Achar \(R_{th}\): desligar fontes independentes e calcular \(R_{eq}\) vista dos terminais
Thévenin — \(V_{oc}\) e \(R_{th}\) obtidos. Próximo passo?;Montar circuito: \(V_{th}\) em série com \(R_{th}\), conectar a carga
Análise nodal — nó referência escolhido. Próximo passo?;Nomear tensões dos nós restantes (\(V_1, V_2, \ldots\)) em relação ao terra
Análise nodal — nós nomeados, sem supernó. Próximo passo?;Escrever LKC em cada nó: \(\sum\) correntes saindo = \(\sum\) correntes entrando
Transitório 1ª ordem — circuito RC ou RL identificado. Próximo passo?;Achar \(x(0)\) e \(x(\infty)\) (DC: C = aberto, L = curto)
Transitório 1ª ordem — \(x(0)\) e \(x(\infty)\) obtidos. Próximo passo?;Calcular \(\tau\) e montar \(x(t) = x(\infty) + [x(0) - x(\infty)]e^{-t/\tau}\)
Potência AC — \(\mathbf{V}\) e \(\mathbf{I}\) fasoriais conhecidos. Como achar \(P\) e \(Q\)?;Calcular \(\mathbf{S} = \mathbf{V}_{rms}\mathbf{I}_{rms}^*\). \(P = \text{Re}(\mathbf{S})\), \(Q = \text{Im}(\mathbf{S})\)
Armadilha: \(6\,\Omega \parallel 6\,\Omega = 12\,\Omega\)?;Não: \(3\,\Omega\). Paralelo de iguais = \(R/n\). Erro: somar em vez de usar inversos
Armadilha: capacitores em série somam \(C_{eq} = C_1 + C_2\)?;Não: em série \(1/C_{eq} = 1/C_1 + 1/C_2\). OPOSTO de resistores (paralelo soma)
Armadilha: na superposição, desliguei uma fonte dependente. Correto?;Não: fontes dependentes NUNCA se desligam. Só independentes são anuladas
Armadilha: máx. transf. potência AC → \(Z_L = Z_{th}\)?;Não: \(Z_L = Z_{th}^*\) (conjugado). Igualar direto só vale em DC
Armadilha: divisor de corrente → \(I_1 = I_s \times R_1/(R_1+R_2)\)?;Não: \(I_1 = I_s \times R_2/(R_1+R_2)\). Usa o resistor OPOSTO no numerador
Armadilha: indutor em DC estacionário → circuito aberto?;Não: indutor em DC → curto (\(v = L\,di/dt = 0\)). Capacitor é que é aberto
